DGPAM ligands amount (mg),Reaction temperature(C),Reaction time(s),Cs/Pb,Yb/Pb,Er/Pb,Yb PLQY(%),Er PLQY(%),Batch
26.8,240,27,1.3,2.4,1.8,70,22,0
23.9,252,2,1,3.1,1.9,38,13,0
21.6,227,24,0.8,2.1,2.3,55,22,0
13.7,235,16,1.1,2.6,3.7,75,18,0
9.5,266,6,1,2.1,2.9,16,1,0
7.4,243,6,0.7,1.7,2.3,57,26,0
11.6,221,19,0.8,3.5,1.6,77,11,0
19.2,229,9,1.2,3.9,2.7,62,22,0
28,249,22,0.9,2.9,3.6,45,40,0
6.9,256,15,1.2,3.8,3.1,2,0,0
17.1,259,28,1.3,3.3,3.9,36,21,0
21.8,266,13,0.7,1.6,3.3,57,29,0
13.7,232,7,1.1,3.8,2.8,32,2,0
10,270,9,1.4,3.1,2.3,9,2,0
10,266,30,0.8,3.7,3.9,51,22,0
30,220,30,1.4,3.7,2.4,48,18,0
12.1,269,15,0.9,3.8,2.4,60,32,0
10,264,30,0.8,1.8,3.9,56,29,0
16.5,269,19,0.9,2.6,3.1,57,45,1
23.5,257,20,1,3.3,3.3,50,38,1
24.6,251,25,1,1.6,4,32,5,1
13.1,270,19,0.8,1.6,2.7,67,18,1
19.7,270,18,0.9,4,2.4,60,37,1
22.4,254,18,0.9,4,4,56,26,1
15.2,236,19,0.9,3.1,3,63,25,2
30,270,20,0.9,3,3,50,43,2
13,254,21,0.9,3.5,3.1,50,5,2
15.8,229,18,0.9,2.3,3,24,6,2
13,226,20,0.9,3.5,3.1,62,16,2
16.2,252,19,0.9,2.2,2.8,74,37,2
21.6,270,18,0.8,2.9,2.8,87,38,3
23.4,263,19,0.9,2.6,3.2,72,41,3
24.4,252,18,0.8,2.7,2.7,75,30,3
21.3,270,19,1,2.9,1.5,61,18,3
18.3,270,18,0.6,3.1,2.4,105,34,3
23.7,264,21,0.7,2.7,4,70,48,3
